Ciudad,Provincia,Producto_Regional,Producción_Toneladas,Índice_Industrialización
San Antonio,Puno,Trigo,14524,1.8
Juliaca,San Román,Lácteos,10397,5.0
Juliaca,San Román,Carne de llama,3900,3.6
Pedro Vilca Apaza,San Antonio de Putina,Ajo,1605,6.7
Ananea,San Antonio de Putina,Lácteos,8803,2.9
Nuñoa,Melgar,Papa,42422,6.3
Asillo,Azángaro,Maíz,18574,5.9
Orurillo,Melgar,Ajo,5914,5.9
Capachica,Puno,Carne de llama,4387,7.0
Antauta,Melgar,Trucha,864,7.0
Achaya,Azángaro,Fresa,1183,4.3
Huata,Puno,Maíz,18493,3.8
Copani,Yunguyo,Papa,28064,2.0
Huacullani,Chucuito,Miel,914,9.1
Lampa,Lampa,Tuna,408,9.2
San Juan del Oro,Sandia,Cebolla,8357,3.8
Vilquechico,Huancané,Lácteos,10758,5.8
Pilcuyo,El Collao,Papa,15588,1.7
Orurillo,Melgar,Cebada,17935,4.4
Capaso,El Collao,Quinua,7388,5.5
Tilali,Moho,Papa,27197,7.4
Lampa,Lampa,Miel,626,3.8
Asillo,Azángaro,Trigo,5369,6.4
Pucará,Lampa,Quinua,14312,7.3
Phara,Sandia,Lácteos,4354,7.5
Muñani,Azángaro,Kiwicha,5888,9.2
Ananea,San Antonio de Putina,Cacao,7554,3.4
Tiquillaca,Puno,Tuna,1675,2.4
Juli,Chucuito,Kañiwa,2373,2.5
Sandia,Sandia,Maíz,24279,2.9
Orurillo,Melgar,Lácteos,9245,5.1
Desaguadero,Chucuito,Cebada,16687,6.8
Huancané,Huancané,Tarwi,9391,2.5
Unicachi,Yunguyo,Tuna,1190,8.3
Crucero,Carabaya,Kiwicha,11925,8.1
Sandia,Sandia,Miel,1764,7.3
Ayaviri,Melgar,Ajo,1894,8.2
San Antonio,Puno,Ajo,4466,5.9
Coata,Puno,Cebada,20257,2.4
Pichacani,Puno,Tarwi,9604,2.5
Pedro Vilca Apaza,San Antonio de Putina,Cebolla,4127,8.5
Ilave,El Collao,Trigo,17424,4.4
Achaya,Azángaro,Tuna,2344,1.9
Pichacani,Puno,Tuna,4691,7.3
Sandia,Sandia,Cebolla,14149,1.9
Palca,Lampa,Tarwi,1744,4.1
Muñani,Azángaro,Papa,20682,8.2
Taraco,Huancané,Maíz,17386,3.4
Juli,Chucuito,Ajo,3726,7.9
Copani,Yunguyo,Tuna,3877,7.3
Arapa,Azángaro,Kiwicha,8571,7.0
Ollachea,Carabaya,Kiwicha,9296,4.2
Acora,Puno,Trucha,996,3.7
Muñani,Azángaro,Café,8205,1.9
Tiquillaca,Puno,Tuna,1239,2.4
Unicachi,Yunguyo,Maíz,19676,2.6
Antauta,Melgar,Quinua,11619,7.8
Asillo,Azángaro,Trucha,1755,7.2
Arapa,Azángaro,Quinua,8540,3.6
Juli,Chucuito,Cacao,2368,6.5
Arapa,Azángaro,Lácteos,3835,4.2
Macusani,Carabaya,Oca,6720,6.2
Ayaviri,Melgar,Ajo,5055,3.9
Arapa,Azángaro,Cebolla,7025,2.1
Unicachi,Yunguyo,Fresa,2378,3.4
Pomata,Chucuito,Lácteos,8008,5.8
Putina,San Antonio de Putina,Miel,1512,3.3
Puno,Puno,Cebada,10730,4.4
Putina,San Antonio de Putina,Tuna,4411,8.2
Pedro Vilca Apaza,San Antonio de Putina,Kiwicha,4994,5.0
Vilquechico,Huancané,Trucha,1964,2.3
Muñani,Azángaro,Ajo,3551,7.2
Juliaca,San Román,Cacao,1123,2.2
Achaya,Azángaro,Papa,8402,7.1
Phara,Sandia,Kañiwa,3761,8.9
Conima,Moho,Trucha,1345,2.7
San Antón,Azángaro,Maca,3427,4.0
Cabanilla,Lampa,Kañiwa,4224,4.2
Unicachi,Yunguyo,Oca,4732,5.0
Puno,Puno,Café,10299,4.2
Tiquillaca,Puno,Trucha,6443,8.7
Huacullani,Chucuito,Trucha,4576,4.2
Pedro Vilca Apaza,San Antonio de Putina,Trucha,6161,8.8
Muñani,Azángaro,Trigo,10974,2.8
Tiquillaca,Puno,Oca,4180,7.2
Pucará,Lampa,Quinua,7868,7.2
Muñani,Azángaro,Ajo,4221,8.0
Muñani,Azángaro,Quinua,3040,8.6
Arapa,Azángaro,Kiwicha,3284,9.1
Desaguadero,Chucuito,Tuna,4284,2.1
San Antonio,Puno,Oca,1097,9.4
Pedro Vilca Apaza,San Antonio de Putina,Quinua,3161,9.1
Conima,Moho,Carne de llama,3481,7.7
Orurillo,Melgar,Fresa,1443,4.5
Pucará,Lampa,Café,11795,6.2
Saman,Azángaro,Fresa,693,5.9
Putina,San Antonio de Putina,Olluco,6098,3.5
Tilali,Moho,Trigo,18114,3.7
Ananea,San Antonio de Putina,Kiwicha,2102,2.0
Palca,Lampa,Ajo,1024,4.8
Capachica,Puno,Maíz,6885,4.3
San Antón,Azángaro,Trigo,14115,8.2
San Juan del Oro,Sandia,Carne de llama,2052,8.1
Ilave,El Collao,Papa,44124,6.9
Pomata,Chucuito,Cebada,12519,5.0
Muñani,Azángaro,Trucha,7617,3.0
Capaso,El Collao,Cacao,1918,5.8
Capachica,Puno,Fresa,2727,3.7
Pichacani,Puno,Ajo,2388,8.0
Moho,Moho,Trigo,3436,9.6
Ollachea,Carabaya,Miel,1589,8.2
Pilcuyo,El Collao,Maca,6204,7.4
San Gabán,Carabaya,Trucha,7267,2.8
Phara,Sandia,Carne de llama,3402,6.4
Vilquechico,Huancané,Miel,1488,7.0
Macusani,Carabaya,Oca,8834,1.8
San Juan del Oro,Sandia,Olluco,4229,7.1
Tilali,Moho,Quinua,10122,7.9
Antauta,Melgar,Maíz,12211,7.5
Juli,Chucuito,Maca,3479,3.1
Ilave,El Collao,Fresa,1838,8.8
Ananea,San Antonio de Putina,Papa,15721,4.3
Tiquillaca,Puno,Papa,40248,7.0
Phara,Sandia,Café,11138,3.3
Azángaro,Azángaro,Carne de alpaca,2681,3.8
Antauta,Melgar,Maca,3683,7.8
Puno,Puno,Maca,876,3.7
Saman,Azángaro,Cacao,6459,7.1
Capaso,El Collao,Quinua,6224,3.9
Muñani,Azángaro,Kañiwa,2016,2.5
Pilcuyo,El Collao,Kañiwa,6158,5.6
Pilcuyo,El Collao,Olluco,4981,1.4
San Gabán,Carabaya,Maca,1554,3.8
Huancané,Huancané,Fresa,2924,2.8
Lampa,Lampa,Maca,4309,2.2
Crucero,Carabaya,Carne de llama,4617,7.2
Cabanilla,Lampa,Cebada,16399,9.3
Macusani,Carabaya,Tarwi,8841,4.3
Cabanilla,Lampa,Miel,830,4.2
Huacullani,Chucuito,Oca,6503,2.5
Conima,Moho,Tarwi,4348,4.8
Achaya,Azángaro,Papa,32991,2.4
Vilquechico,Huancané,Café,8463,5.8
Lampa,Lampa,Cebolla,9750,7.0
Huacullani,Chucuito,Café,10020,5.4
Ananea,San Antonio de Putina,Quinua,18753,6.8
Antauta,Melgar,Kiwicha,7994,8.2
Ananea,San Antonio de Putina,Kañiwa,1949,2.3
Azángaro,Azángaro,Kañiwa,7878,2.1
Lampa,Lampa,Kañiwa,2099,4.9
Putina,San Antonio de Putina,Cacao,1325,5.8
Pichacani,Puno,Trucha,5256,2.4
San Antón,Azángaro,Cebolla,5431,7.4
Capaso,El Collao,Trucha,1843,9.1
Acora,Puno,Café,2268,4.8
Huata,Puno,Papa,22062,9.0
Capaso,El Collao,Trigo,9767,2.2
Unicachi,Yunguyo,Maca,858,6.1
Copani,Yunguyo,Trucha,7186,4.3
Ollachea,Carabaya,Trigo,23167,5.3
Lampa,Lampa,Lácteos,2450,6.9
Quilcapuncu,San Antonio de Putina,Fresa,3051,4.3
Vilquechico,Huancané,Cebolla,12841,2.5
Ananea,San Antonio de Putina,Miel,266,3.2
San Antonio,Puno,Lácteos,11421,4.5
Huata,Puno,Fresa,974,7.7
Desaguadero,Chucuito,Café,2154,4.3
Juli,Chucuito,Oca,2089,4.1
Pomata,Chucuito,Quinua,7319,4.7
Palca,Lampa,Tuna,3792,2.7
Sandia,Sandia,Lácteos,4916,3.4
Mañazo,Puno,Quinua,4933,1.8
Ayaviri,Melgar,Maca,1256,2.5
Desaguadero,Chucuito,Café,1255,2.0
Copani,Yunguyo,Café,3059,9.6
Mañazo,Puno,Olluco,8490,9.5
Antauta,Melgar,Carne de alpaca,4076,4.9
Pilcuyo,El Collao,Tuna,3511,7.4
San Gabán,Carabaya,Kañiwa,3406,3.0
Phara,Sandia,Cacao,8046,4.2
Huata,Puno,Quinua,12205,7.7
Putina,San Antonio de Putina,Maíz,4192,3.6
Pucará,Lampa,Kañiwa,4825,3.6
Juliaca,San Román,Ajo,1096,7.2
Juliaca,San Román,Miel,1689,5.4
Mañazo,Puno,Fresa,350,3.8
Coata,Puno,Trucha,1192,4.7
Santa Rosa,El Collao,Cacao,7214,5.6
Huancané,Huancané,Miel,1236,8.8
Putina,San Antonio de Putina,Quinua,10322,9.3
Ilave,El Collao,Trigo,4723,5.6
Huancané,Huancané,Oca,4432,6.8
Lampa,Lampa,Tarwi,8848,9.1
Taraco,Huancané,Quinua,14525,5.4
Juliaca,San Román,Kiwicha,8093,4.2
Ayaviri,Melgar,Lácteos,5129,6.7
San Antón,Azángaro,Maca,6173,6.5
Chucuito,Puno,Olluco,8037,8.6
Pilcuyo,El Collao,Maíz,16820,2.5
Vilquechico,Huancané,Trigo,22989,5.9
Capaso,El Collao,Cacao,1722,6.8
Saman,Azángaro,Oca,9158,8.4
Pilcuyo,El Collao,Olluco,8594,2.7
Saman,Azángaro,Maíz,16298,5.0
Huata,Puno,Maca,6024,3.4
Ilave,El Collao,Quinua,14848,5.8
Pilcuyo,El Collao,Papa,20403,4.8
San Antonio,Puno,Quinua,6048,3.5
Juliaca,San Román,Trucha,1851,7.0
Copani,Yunguyo,Fresa,3894,8.3
Taraco,Huancané,Oca,8905,8.4
Vilquechico,Huancané,Carne de alpaca,2214,7.4
Phara,Sandia,Ajo,4717,4.4
Lampa,Lampa,Papa,49809,6.6
Ollachea,Carabaya,Trucha,7593,2.5
Asillo,Azángaro,Ajo,5991,7.0
Pucará,Lampa,Kiwicha,5307,6.6
Acora,Puno,Miel,746,4.1
Pedro Vilca Apaza,San Antonio de Putina,Olluco,4061,6.6
Pedro Vilca Apaza,San Antonio de Putina,Carne de llama,1522,5.2
Pomata,Chucuito,Tarwi,6827,5.2
Yanahuaya,Sandia,Cebada,5703,2.2
Chucuito,Puno,Maca,5873,2.9
Puno,Puno,Tuna,2393,1.9
Capaso,El Collao,Trucha,4705,1.9
San Antonio,Puno,Tarwi,5055,8.3
Pichacani,Puno,Papa,26690,6.6
Arapa,Azángaro,Cebolla,10465,3.4
Lampa,Lampa,Cebada,17148,6.8
Quilcapuncu,San Antonio de Putina,Tarwi,5098,6.6
Phara,Sandia,Carne de alpaca,5081,8.8
Putina,San Antonio de Putina,Ajo,3980,6.1
San Gabán,Carabaya,Cacao,1708,6.6
San Juan del Oro,Sandia,Maíz,21686,9.6
Tiquillaca,Puno,Trucha,5689,7.4
Capachica,Puno,Cebada,15974,2.0
Desaguadero,Chucuito,Carne de llama,1120,3.2
Crucero,Carabaya,Trucha,2921,2.4
Ilave,El Collao,Papa,33080,8.6
Pomata,Chucuito,Cebada,22972,4.1
Moho,Moho,Oca,8985,5.6
Conima,Moho,Lácteos,3067,5.9
Putina,San Antonio de Putina,Kañiwa,7938,3.2
Putina,San Antonio de Putina,Ajo,4828,9.5
Vilquechico,Huancané,Ajo,758,3.2
Vilquechico,Huancané,Olluco,3592,1.6
San Juan del Oro,Sandia,Olluco,904,4.9
Pucará,Lampa,Carne de alpaca,1978,7.8
Arapa,Azángaro,Cebolla,8267,4.5
San Antón,Azángaro,Tuna,1283,4.9
Santa Rosa,El Collao,Kiwicha,10368,4.0
Orurillo,Melgar,Maíz,7348,1.5
Huacullani,Chucuito,Maíz,15047,2.1
Achaya,Azángaro,Fresa,494,4.7
Orurillo,Melgar,Oca,4120,4.9
Unicachi,Yunguyo,Trigo,21469,5.2
Ollachea,Carabaya,Ajo,2121,5.5
Vilquechico,Huancané,Trigo,23527,6.0
Achaya,Azángaro,Café,2836,2.5
Crucero,Carabaya,Maca,3163,7.2
Huancané,Huancané,Lácteos,6118,3.2
Azángaro,Azángaro,Quinua,3907,2.0
Vilque,Puno,Olluco,1091,2.0
Antauta,Melgar,Olluco,1432,7.2
Pomata,Chucuito,Fresa,921,4.4
Macusani,Carabaya,Olluco,4293,7.2
Asillo,Azángaro,Cebolla,14454,6.6
Copani,Yunguyo,Papa,26576,3.5
Orurillo,Melgar,Fresa,2889,5.0
Moho,Moho,Ajo,4201,5.1
Ayaviri,Melgar,Carne de llama,2029,4.6
San Juan del Oro,Sandia,Cacao,6977,5.4
Muñani,Azángaro,Ajo,912,5.0
Nuñoa,Melgar,Tarwi,2446,7.7
Putina,San Antonio de Putina,Cacao,6748,5.3
Copani,Yunguyo,Maca,5590,5.5
Ilave,El Collao,Trigo,19478,5.6
Crucero,Carabaya,Fresa,1519,7.3
Azángaro,Azángaro,Kiwicha,8846,4.6
Pichacani,Puno,Tarwi,1398,2.9
Ayaviri,Melgar,Fresa,1225,4.8
Palca,Lampa,Carne de alpaca,4533,3.6
Moho,Moho,Cacao,6074,3.7
Conima,Moho,Fresa,1324,9.5
San Antón,Azángaro,Kañiwa,8631,1.7
Capaso,El Collao,Cebolla,6569,1.8
Ayaviri,Melgar,Carne de llama,3309,8.9
Crucero,Carabaya,Cebolla,9963,4.5
San Juan del Oro,Sandia,Carne de alpaca,4465,6.1
Pomata,Chucuito,Quinua,12681,8.6
Orurillo,Melgar,Lácteos,7316,2.8
Quilcapuncu,San Antonio de Putina,Miel,1883,5.0
Antauta,Melgar,Cebada,21072,6.6
Cabanilla,Lampa,Ajo,3203,9.5
Huata,Puno,Tuna,1095,5.9
Lampa,Lampa,Fresa,1953,5.9
Putina,San Antonio de Putina,Tuna,4577,2.6
Huancané,Huancané,Olluco,6521,2.4
Macusani,Carabaya,Maíz,10656,3.8
Quilcapuncu,San Antonio de Putina,Café,7658,7.2
Chucuito,Puno,Carne de alpaca,5589,4.8
Pedro Vilca Apaza,San Antonio de Putina,Tarwi,2545,9.7
Crucero,Carabaya,Maca,5151,7.1
Yunguyo,Yunguyo,Cebolla,14387,2.0
Muñani,Azángaro,Olluco,7254,6.1
Mañazo,Puno,Oca,8235,6.2
Phara,Sandia,Trucha,5521,6.0
Nuñoa,Melgar,Tarwi,9429,4.0
Pucará,Lampa,Tarwi,8893,5.9
Pedro Vilca Apaza,San Antonio de Putina,Oca,9253,6.2
Pilcuyo,El Collao,Ajo,3095,9.1
Arapa,Azángaro,Maca,2486,3.9
Capachica,Puno,Tuna,2874,6.5
Tiquillaca,Puno,Miel,1010,8.5
Capachica,Puno,Café,4285,9.2
Phara,Sandia,Lácteos,3451,4.8
Juli,Chucuito,Trigo,5652,2.7
Phara,Sandia,Cebolla,4172,8.1
Copani,Yunguyo,Kiwicha,2663,8.4
Taraco,Huancané,Fresa,3709,5.9
Acora,Puno,Olluco,2235,9.7
Unicachi,Yunguyo,Quinua,9142,8.7
Azángaro,Azángaro,Maíz,14461,5.1
Ollachea,Carabaya,Olluco,6029,7.7
Lampa,Lampa,Cebolla,12088,2.5
Juli,Chucuito,Maca,1675,1.8
Orurillo,Melgar,Maca,2570,2.7
Asillo,Azángaro,Quinua,3216,7.0
San Antón,Azángaro,Tuna,1461,2.8
Muñani,Azángaro,Cebolla,8240,9.5
Juli,Chucuito,Fresa,488,6.7
Conima,Moho,Carne de llama,1266,8.4
Unicachi,Yunguyo,Cebada,6385,8.5
Capaso,El Collao,Lácteos,6595,9.0
Phara,Sandia,Café,11703,6.6
Huacullani,Chucuito,Maíz,23872,4.2
Ollachea,Carabaya,Papa,28524,4.6
Azángaro,Azángaro,Tarwi,5974,7.4
Putina,San Antonio de Putina,Maca,6558,3.8
Huacullani,Chucuito,Olluco,6376,5.1
Vilquechico,Huancané,Carne de alpaca,4568,6.3
Huacullani,Chucuito,Cebolla,14280,8.8
Moho,Moho,Fresa,819,6.3
Capachica,Puno,Maca,2532,9.1
Juliaca,San Román,Fresa,2098,5.4
Taraco,Huancané,Kiwicha,10245,5.9
Ayaviri,Melgar,Fresa,3459,6.1
Vilquechico,Huancané,Maíz,8488,8.1
Yanahuaya,Sandia,Olluco,4324,3.4
San Antonio,Puno,Miel,250,2.4
San Antonio,Puno,Kiwicha,7282,2.4
Phara,Sandia,Carne de alpaca,4981,7.3
Arapa,Azángaro,Cebolla,3923,5.7
Sandia,Sandia,Café,6107,4.8
Pichacani,Puno,Kañiwa,5432,2.0
Muñani,Azángaro,Papa,16559,6.6
Huacullani,Chucuito,Trucha,2760,7.0
Nuñoa,Melgar,Papa,14892,8.0
Juliaca,San Román,Cacao,3624,8.4
Puno,Puno,Trigo,4108,6.3
Juli,Chucuito,Lácteos,8559,9.0
Juliaca,San Román,Café,6664,9.6
Saman,Azángaro,Tuna,2777,6.0
Huacullani,Chucuito,Tuna,2790,9.0
Arapa,Azángaro,Tarwi,8897,9.1
Lampa,Lampa,Lácteos,13189,5.0
Ilave,El Collao,Cacao,7614,6.4
Saman,Azángaro,Trigo,10397,2.4
Vilque,Puno,Olluco,6359,5.5
Huacullani,Chucuito,Miel,1742,2.0
Arapa,Azángaro,Cebada,10170,9.7
Macusani,Carabaya,Carne de alpaca,1169,6.4
Sandia,Sandia,Trigo,7748,8.5
Asillo,Azángaro,Kañiwa,8739,6.7
Quilcapuncu,San Antonio de Putina,Miel,1771,5.7
Putina,San Antonio de Putina,Café,3596,2.4
Putina,San Antonio de Putina,Trigo,17039,8.0
Vilquechico,Huancané,Trigo,9517,8.4
Vilquechico,Huancané,Ajo,5619,4.7
Lampa,Lampa,Kiwicha,3094,5.1
Chucuito,Puno,Oca,8959,9.3
Moho,Moho,Maíz,9382,3.1
Antauta,Melgar,Tuna,3282,2.0
Acora,Puno,Carne de llama,4657,8.8
Arapa,Azángaro,Cacao,5776,4.8
Conima,Moho,Cebolla,6946,1.6
Palca,Lampa,Kañiwa,3126,8.2
Yanahuaya,Sandia,Trucha,2219,2.7
Mañazo,Puno,Oca,3103,7.1
Ananea,San Antonio de Putina,Trigo,8962,8.6
Pomata,Chucuito,Oca,2138,2.5
Tilali,Moho,Café,2685,3.7
San Gabán,Carabaya,Kañiwa,4799,7.7
Sandia,Sandia,Carne de alpaca,2442,9.6
Pomata,Chucuito,Kiwicha,10649,5.5
Acora,Puno,Tarwi,8374,3.2
San Antonio,Puno,Kiwicha,9137,8.0
Moho,Moho,Cebolla,7915,1.8
Santa Rosa,El Collao,Carne de alpaca,3526,1.5
Ayaviri,Melgar,Cebada,21142,2.1
Orurillo,Melgar,Café,5504,6.4
Palca,Lampa,Cebolla,4622,8.4
Crucero,Carabaya,Tarwi,4077,9.4
Huacullani,Chucuito,Trigo,13100,5.0
Arapa,Azángaro,Papa,12541,8.1
Ilave,El Collao,Papa,12157,4.7
Achaya,Azángaro,Tarwi,7008,2.0
Arapa,Azángaro,Maca,1585,3.3
Yunguyo,Yunguyo,Kañiwa,3767,8.4
Muñani,Azángaro,Cebada,3767,2.7
Achaya,Azángaro,Cebolla,10454,5.2
Azángaro,Azángaro,Maca,3314,6.8
Pucará,Lampa,Cacao,5665,7.1
Ollachea,Carabaya,Maíz,5126,7.4
Antauta,Melgar,Papa,26049,3.9
Ananea,San Antonio de Putina,Cebolla,6562,9.0
Juliaca,San Román,Tarwi,4390,5.5
Muñani,Azángaro,Tarwi,8573,4.9
Taraco,Huancané,Cacao,5843,4.5
Crucero,Carabaya,Kiwicha,10581,9.0
Palca,Lampa,Kañiwa,4990,4.0
San Antón,Azángaro,Cebolla,10978,7.2
Macusani,Carabaya,Oca,9234,4.2
Antauta,Melgar,Ajo,2598,5.1
Pucará,Lampa,Quinua,7742,6.5
Ananea,San Antonio de Putina,Kañiwa,5162,5.3
Muñani,Azángaro,Oca,3480,8.7
Desaguadero,Chucuito,Cebada,20453,9.6
San Juan del Oro,Sandia,Kiwicha,3037,6.0
Tilali,Moho,Kañiwa,1041,7.8
Palca,Lampa,Papa,34698,3.4
Pilcuyo,El Collao,Carne de alpaca,5993,1.7
Crucero,Carabaya,Ajo,2676,4.2
Macusani,Carabaya,Oca,2721,3.3
Achaya,Azángaro,Maíz,11464,4.3
Antauta,Melgar,Cacao,8889,5.5
Vilque,Puno,Kiwicha,8237,1.4
Santa Rosa,El Collao,Café,9039,3.2
Arapa,Azángaro,Cebada,3716,2.4
Macusani,Carabaya,Cebolla,3251,8.1
Macusani,Carabaya,Papa,42519,4.7
San Gabán,Carabaya,Trucha,956,4.4
Achaya,Azángaro,Miel,326,2.4
Orurillo,Melgar,Kiwicha,10041,4.8
Pilcuyo,El Collao,Cebada,10842,4.6
Saman,Azángaro,Café,10280,2.8
Quilcapuncu,San Antonio de Putina,Cebada,12651,7.4
Mañazo,Puno,Ajo,2156,3.0
Tilali,Moho,Carne de llama,2582,6.3
Huata,Puno,Carne de alpaca,5279,2.8
Ollachea,Carabaya,Cacao,8469,7.0
Copani,Yunguyo,Cebada,22835,3.8
Orurillo,Melgar,Cacao,6823,6.1
Putina,San Antonio de Putina,Cebada,15159,4.3
Moho,Moho,Kañiwa,2390,4.4
Azángaro,Azángaro,Trucha,4171,5.8
Cabanilla,Lampa,Oca,3936,4.6
Taraco,Huancané,Trigo,15049,5.2
Juliaca,San Román,Cebada,7727,5.0
Conima,Moho,Trucha,5889,8.0
Nuñoa,Melgar,Lácteos,9852,4.0
Muñani,Azángaro,Trucha,1333,7.3
Huancané,Huancané,Oca,1466,3.3
Moho,Moho,Tuna,3473,8.3
Antauta,Melgar,Miel,1397,9.2
Pucará,Lampa,Cebolla,6935,7.3
Chucuito,Puno,Trucha,4768,8.5
San Gabán,Carabaya,Ajo,3090,5.6
San Gabán,Carabaya,Papa,47631,6.1
Desaguadero,Chucuito,Papa,14233,4.8
Putina,San Antonio de Putina,Trucha,1244,6.5
Capaso,El Collao,Cacao,7576,9.1
Moho,Moho,Quinua,17590,1.9
Juliaca,San Román,Trucha,6473,8.6
Macusani,Carabaya,Kiwicha,6895,8.2
Huancané,Huancané,Papa,25576,1.8
Vilque,Puno,Ajo,5721,4.9
San Juan del Oro,Sandia,Ajo,5413,2.7
Phara,Sandia,Cebada,6982,3.6
Moho,Moho,Tarwi,1818,3.0
San Antón,Azángaro,Miel,1371,6.6
Desaguadero,Chucuito,Carne de llama,4268,6.1
Vilque,Puno,Trigo,9483,1.8
Pichacani,Puno,Cacao,7864,7.9
San Juan del Oro,Sandia,Kiwicha,5709,3.2
Quilcapuncu,San Antonio de Putina,Oca,9316,3.7
Taraco,Huancané,Café,5752,8.5
Orurillo,Melgar,Papa,15036,8.5
Vilquechico,Huancané,Miel,1060,3.7
Taraco,Huancané,Maíz,12992,9.5
Nuñoa,Melgar,Carne de alpaca,4613,2.2
Pucará,Lampa,Kiwicha,8315,1.7
Santa Rosa,El Collao,Kañiwa,3338,8.7
San Juan del Oro,Sandia,Cebolla,13294,7.9
Capaso,El Collao,Carne de llama,3130,5.9
Arapa,Azángaro,Kiwicha,5444,2.1
Palca,Lampa,Carne de llama,2692,8.6
Sandia,Sandia,Ajo,2524,8.4
Coata,Puno,Carne de llama,2757,5.8
Ananea,San Antonio de Putina,Café,3462,3.6
Yunguyo,Yunguyo,Maca,2208,7.0
Vilque,Puno,Carne de alpaca,4641,3.8
Juli,Chucuito,Maca,2985,3.1
Coata,Puno,Trucha,1771,4.2
Achaya,Azángaro,Cebolla,9560,4.0
Achaya,Azángaro,Café,2515,6.1
Pomata,Chucuito,Kañiwa,7912,4.4
Acora,Puno,Maíz,22304,5.9
Azángaro,Azángaro,Lácteos,4525,8.8
Unicachi,Yunguyo,Lácteos,8236,8.4
Putina,San Antonio de Putina,Fresa,3949,2.0
Huata,Puno,Miel,403,5.5
Juliaca,San Román,Trigo,5198,2.1
Yanahuaya,Sandia,Kiwicha,1780,4.1
Santa Rosa,El Collao,Kiwicha,8465,9.0
Acora,Puno,Tuna,3290,4.5
Arapa,Azángaro,Cacao,8684,1.5
Santa Rosa,El Collao,Papa,27565,8.3
Copani,Yunguyo,Lácteos,13610,5.8
Capaso,El Collao,Cebolla,10485,7.2
Ilave,El Collao,Cacao,7767,7.0
Desaguadero,Chucuito,Cebolla,5206,8.6
Puno,Puno,Cebada,15868,6.5
Taraco,Huancané,Carne de llama,3335,7.4
Huacullani,Chucuito,Quinua,18390,5.4
Saman,Azángaro,Carne de llama,4051,4.9
Tilali,Moho,Papa,9922,8.7
Palca,Lampa,Cebolla,10736,7.8
Puno,Puno,Maíz,18049,8.1
Sandia,Sandia,Cacao,1429,9.0
Puno,Puno,Carne de alpaca,2527,8.3
San Antón,Azángaro,Tuna,1053,8.2
Capaso,El Collao,Tarwi,5567,5.7
Quilcapuncu,San Antonio de Putina,Carne de llama,1019,4.9
Huata,Puno,Maca,3274,8.9
Pilcuyo,El Collao,Trucha,7525,7.7
Pedro Vilca Apaza,San Antonio de Putina,Cacao,6618,6.3
Pedro Vilca Apaza,San Antonio de Putina,Cebada,23979,9.0
Putina,San Antonio de Putina,Lácteos,13157,9.1
Capachica,Puno,Trigo,16124,3.1
Asillo,Azángaro,Maca,2857,7.9
Macusani,Carabaya,Carne de alpaca,3103,8.1
Tilali,Moho,Trucha,3676,1.5
Pedro Vilca Apaza,San Antonio de Putina,Oca,1429,7.6
Juli,Chucuito,Ajo,1867,6.6
Ayaviri,Melgar,Maíz,29969,5.3
San Juan del Oro,Sandia,Cacao,5855,6.4
Sandia,Sandia,Cebada,12167,3.2
Conima,Moho,Cebolla,13862,3.0
Quilcapuncu,San Antonio de Putina,Trigo,13214,1.7
San Antonio,Puno,Papa,12370,7.0
Crucero,Carabaya,Carne de llama,4283,1.7
Achaya,Azángaro,Trucha,907,3.7
Achaya,Azángaro,Tarwi,3545,6.5
Pucará,Lampa,Fresa,730,2.4
Capaso,El Collao,Quinua,18175,3.9
Chucuito,Puno,Trigo,21228,5.6
Yunguyo,Yunguyo,Ajo,4941,2.4
Coata,Puno,Cebada,11373,5.8
Capachica,Puno,Tuna,3272,9.4
Achaya,Azángaro,Trucha,3418,3.2
Pedro Vilca Apaza,San Antonio de Putina,Oca,4427,5.7
Yanahuaya,Sandia,Tuna,2757,5.3
Cabanilla,Lampa,Trucha,1332,2.0
Phara,Sandia,Tarwi,3690,1.6
Capachica,Puno,Trucha,4985,2.4
Pomata,Chucuito,Café,6634,4.8
Acora,Puno,Cacao,1926,1.5
Saman,Azángaro,Trigo,6762,2.0
Muñani,Azángaro,Ajo,1969,4.7
Crucero,Carabaya,Fresa,2351,6.2
Acora,Puno,Trigo,13481,5.0
Mañazo,Puno,Lácteos,4540,8.8
Huata,Puno,Quinua,11338,7.5
Ollachea,Carabaya,Oca,7616,8.0
Quilcapuncu,San Antonio de Putina,Kiwicha,8043,8.4
Vilque,Puno,Carne de alpaca,2081,2.1
Huancané,Huancané,Miel,628,6.9
Unicachi,Yunguyo,Cebada,24315,4.3
Capaso,El Collao,Olluco,3212,8.6
Yanahuaya,Sandia,Carne de alpaca,2997,8.3
Sandia,Sandia,Papa,33445,5.5
Ayaviri,Melgar,Maíz,14622,9.2
Ananea,San Antonio de Putina,Trigo,11315,4.3
Palca,Lampa,Lácteos,12998,2.1
Acora,Puno,Tuna,3271,5.1
Palca,Lampa,Ajo,3090,8.5
Capachica,Puno,Miel,1436,8.9
Yunguyo,Yunguyo,Trigo,15814,7.2
Chucuito,Puno,Oca,3865,9.0
Palca,Lampa,Fresa,3892,1.6
Sandia,Sandia,Tuna,1866,8.2
Huancané,Huancané,Cebada,21846,6.4
Pucará,Lampa,Papa,30265,3.0
Achaya,Azángaro,Papa,9818,9.0
